key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:sponsor

##Casos negativos para ticker

errata-sponsorship-1,ER01-DUP01,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-2,ER01-DUP01,"Sponsorship Test","Sponsorship for testing purposes.",2026/07/01 10:00,2027/07/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-5,null,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-6,,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-16,Z99-ABCDE,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-17,AB0-ABCDE,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-18,FFF06-00000,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-19,AB00-ABCD,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-20,AB00-ABCDEFGHIJK,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-21,ab00-ABCDE,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-22,AB00-?)(Ç*%,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1

##Casos negativos para name

errata-sponsorship-8,ER08-TNAME,NULL,"Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-9,ER09-TNAME,"","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-10,ER10-TNAME,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te1","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1

##Casos negativos para description

errata-sponsorship-11,ER11-TDESC,"Sponsorship Test",NULL,2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-12,ER12-TDESC,"Sponsorship Test","",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-13,ER13-TDESC,"Sponsorship Test","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolores",2026/06/01 10:00,2027/06/01 10:00,http://example.com,true,errata-sponsor-1

##Casos negativos para moreInfo

errata-sponsorship-14,ER14-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,"",true,errata-sponsor-1
errata-sponsorship-15,ER15-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,http://,true,errata-sponsor-1
errata-sponsorship-30,ER30-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,ftp://example.com,true,errata-sponsor-1
